# Ethyl Acetate  CAS 141-78-6
# source: NIST WebBook / Sadtler Research Labs Under US-EPA Contract
# STATE=gas  YUNITS=ABSORBANCE
# NOT QUANTITATIVE: no path length or concentration given.
# Absorbance scale is arbitrary -> positions and shapes only.
wavenumber_cm-1,absorbance_arbitrary
2342.0,2.878560e-03
2346.0,4.137930e-03
2350.0,8.995500e-04
2354.0,3.598200e-03
2358.0,1.979010e-03
2362.0,6.476760e-03
2366.0,7.736130e-03
2370.0,9.715140e-03
2374.0,6.476760e-03
2378.0,5.217390e-03
2382.0,4.677660e-03
2386.0,2.878560e-03
2390.0,3.238380e-03
2394.0,3.598200e-03
2398.0,4.137930e-03
2402.0,4.137930e-03
2406.0,3.958020e-03
2410.0,4.677660e-03
2414.0,5.037480e-03
2418.0,4.497750e-03
2422.0,4.317840e-03
2426.0,4.317840e-03
2430.0,5.217390e-03
2434.0,4.677660e-03
2438.0,5.037480e-03
2442.0,5.577210e-03
2446.0,5.577210e-03
2450.0,6.656670e-03
2454.0,7.016490e-03
2458.0,7.916040e-03
2462.0,7.916040e-03
2466.0,8.275860e-03
2470.0,8.455770e-03
2474.0,8.275860e-03
2478.0,8.815590e-03
2482.0,7.916040e-03
2486.0,7.376310e-03
2490.0,7.016490e-03
2494.0,6.476760e-03
2498.0,6.296850e-03
2502.0,5.397300e-03
2506.0,4.677660e-03
2510.0,5.037480e-03
2514.0,4.677660e-03
2518.0,4.497750e-03
2522.0,4.497750e-03
2526.0,5.217390e-03
2530.0,4.497750e-03
2534.0,5.217390e-03
2538.0,4.677660e-03
2542.0,4.857570e-03
2546.0,5.037480e-03
2550.0,4.857570e-03
2554.0,5.217390e-03
2558.0,5.217390e-03
2562.0,4.857570e-03
2566.0,5.037480e-03
2570.0,5.757120e-03
2574.0,5.037480e-03
2578.0,5.937030e-03
2582.0,6.116940e-03
2586.0,6.836580e-03
2590.0,6.296850e-03
2594.0,7.016490e-03
2598.0,7.376310e-03
2602.0,6.296850e-03
2606.0,6.836580e-03
2610.0,7.376310e-03
2614.0,6.836580e-03
2618.0,6.296850e-03
2622.0,6.656670e-03
2626.0,5.757120e-03
2630.0,4.497750e-03
2634.0,4.137930e-03
2638.0,3.238380e-03
2642.0,2.878560e-03
2646.0,3.778110e-03
2650.0,4.857570e-03
2654.0,5.577210e-03
2658.0,4.677660e-03
2662.0,4.857570e-03
2666.0,4.497750e-03
2670.0,4.497750e-03
2674.0,4.497750e-03
2678.0,5.937030e-03
2682.0,7.376310e-03
2686.0,8.995500e-03
2690.0,1.061469e-02
2694.0,1.133433e-02
2698.0,1.169415e-02
2702.0,1.115442e-02
2706.0,1.025487e-02
2710.0,1.025487e-02
2714.0,1.007496e-02
2718.0,9.715140e-03
2722.0,9.175410e-03
2726.0,9.535230e-03
2730.0,9.175410e-03
2734.0,9.535230e-03
2738.0,1.025487e-02
2742.0,1.043478e-02
2746.0,8.995500e-03
2750.0,9.715140e-03
2754.0,9.895050e-03
2758.0,9.715140e-03
2762.0,9.535230e-03
2766.0,1.133433e-02
2770.0,1.133433e-02
2774.0,1.025487e-02
2778.0,1.061469e-02
2782.0,1.295352e-02
2786.0,1.241379e-02
2790.0,1.115442e-02
2794.0,1.043478e-02
2798.0,1.007496e-02
2802.0,1.097451e-02
2806.0,1.277361e-02
2810.0,1.241379e-02
2814.0,1.457271e-02
2818.0,1.511244e-02
2822.0,1.493253e-02
2826.0,1.565217e-02
2830.0,1.493253e-02
2834.0,1.745127e-02
2838.0,1.763118e-02
2842.0,1.907046e-02
2846.0,2.050974e-02
2850.0,2.086956e-02
2854.0,2.194902e-02
2858.0,2.446776e-02
2862.0,2.662668e-02
2866.0,2.878560e-02
2870.0,3.310344e-02
2874.0,4.047975e-02
2878.0,4.677660e-02
2882.0,5.127435e-02
2886.0,5.505246e-02
2890.0,5.973012e-02
2894.0,6.548724e-02
2898.0,7.034481e-02
2902.0,7.268364e-02
2906.0,7.484256e-02
2910.0,7.520238e-02
2914.0,7.754121e-02
2918.0,7.844076e-02
2922.0,8.167914e-02
2926.0,8.995500e-02
2930.0,1.020090e-01
2934.0,1.192803e-01
2938.0,1.352923e-01
2942.0,1.455472e-01
2946.0,1.540030e-01
2950.0,1.624587e-01
2954.0,1.691154e-01
2958.0,1.754122e-01
2962.0,1.761319e-01
2966.0,1.853073e-01
2970.0,1.984407e-01
2974.0,2.227286e-01
2978.0,2.552923e-01
2982.0,2.745427e-01
2986.0,2.783208e-01
2990.0,2.806596e-01
2994.0,3.015292e-01
2998.0,2.943328e-01
3002.0,2.471963e-01
3006.0,1.984407e-01
3010.0,1.676761e-01
3014.0,1.441079e-01
3018.0,1.207196e-01
3022.0,9.877059e-02
3026.0,7.952022e-02
3030.0,6.476760e-02
3034.0,5.541228e-02
3038.0,4.785606e-02
3042.0,4.299849e-02
3046.0,3.922038e-02
3050.0,3.832083e-02
3054.0,3.508245e-02
3058.0,3.292353e-02
3062.0,3.202398e-02
3066.0,3.112443e-02
3070.0,2.842578e-02
3074.0,2.644677e-02
3078.0,2.536731e-02
3082.0,2.338830e-02
3086.0,2.158920e-02
3090.0,2.158920e-02
3094.0,2.050974e-02
3098.0,1.979010e-02
3102.0,1.997001e-02
3106.0,1.781109e-02
3110.0,1.655172e-02
3114.0,1.709145e-02
3118.0,1.601199e-02
3122.0,1.583208e-02
3126.0,1.457271e-02
3130.0,1.439280e-02
3134.0,1.259370e-02
3138.0,1.313343e-02
3142.0,1.151424e-02
3146.0,1.115442e-02
3150.0,1.151424e-02
3154.0,1.097451e-02
3158.0,9.175410e-03
3162.0,9.715140e-03
3166.0,8.995500e-03
3170.0,9.535230e-03
3174.0,8.995500e-03
3178.0,8.455770e-03
3182.0,8.635680e-03
3186.0,8.095950e-03
3190.0,7.196400e-03
3194.0,8.095950e-03
3198.0,6.476760e-03
3202.0,7.556220e-03
3206.0,7.016490e-03
3210.0,6.296850e-03
3214.0,6.116940e-03
3218.0,5.577210e-03
3222.0,4.677660e-03
3226.0,4.677660e-03
3230.0,4.677660e-03
3234.0,4.137930e-03
3238.0,2.698650e-03
3242.0,3.418290e-03
3246.0,2.698650e-03
3250.0,3.778110e-03
3254.0,1.079460e-03
3258.0,2.338830e-03
3262.0,3.598200e-03
